ID,MonthlyIncome
871,5566.14292163094
872,3021.54425138189
873,13321.2482500785
874,2277.29056658956
875,2647.58884604857
876,4510.74719664823
877,5345.61515840408
878,2192.22761370474
879,2787.88759278507
880,13096.6284209771
881,9177.03421912629
882,2725.65272238089
883,5706.00981035727
884,5584.53819945021
885,5728.81053114202
886,5730.26425446075
887,6077.01409549997
888,5842.05640618004
889,4541.91256201802
890,2877.51215071907
891,4877.3603035975
892,9033.26616747821
893,9217.98151962019
894,5414.05483825795
895,9389.79597487725
896,9453.75556603516
897,8780.57268505555
898,16039.3749437172
899,5787.10481376168
900,2962.01443732826
901,2837.01327781064
902,5775.89507260196
903,6152.38412266002
904,3051.15854209135
905,16306.7078870488
906,5581.75354475451
907,9228.86444112692
908,6154.36288421479
909,2546.46379779324
910,2807.18087001697
911,19167.1237951507
912,2652.59690866861
913,2935.17943152835
914,12557.4303259926
915,6043.89522703905
916,4427.49558580541
917,2772.78971223831
918,5638.60487227474
919,2456.1968983186
920,2858.86183359515
921,2595.16064143999
922,2774.36804170327
923,4648.09504856039
924,4582.96815930541
925,16376.4580853609
926,2894.50639306288
927,5829.41054116131
928,12886.1737388091
929,2183.23410415435
930,2568.37535173492
931,5575.30129402504
932,12685.3749071536
933,9265.18201807949
934,2959.49688424789
935,2556.89954543638
936,2328.88883604514
937,9458.76983189253
938,9185.04751625335
939,5027.34641333642
940,2673.72909298195
941,2784.08320887988
942,9121.08836003283
943,9735.3047392166
944,5815.14264466279
945,2417.79940597372
946,5735.13872011146
947,2409.43579432543
948,2692.69733242906
949,2482.13366594944
950,5722.46970898518
951,2601.77450138172
952,5828.58836872422
953,5891.82282075946
954,2521.93498278268
955,4549.19909568793
956,8048.86376157473
957,9463.82123428698
958,2632.58517825091
959,9199.17146176888
960,19770.4562251388
961,2994.56530912115
962,4958.95904173675
963,5734.02330496657
964,5038.13031004762
965,2718.92012347102
966,19630.402645981
967,2873.90162220658
968,9156.74964896303
969,15960.9040865275
970,2579.02961938266
971,5705.78174839296
972,5766.21256505312
973,2451.51732804015
974,2693.82091278812
975,5777.06274954537
976,2776.79191420643
977,5884.81233378156
978,2839.40613541128
979,9294.96726817235
980,18912.4473288234
981,2584.59039797853
982,9293.47521157212
983,3068.79114186774
984,2657.63799141012
985,5850.11841820046
986,2756.66705981433
987,2427.95866756267
988,5754.60155277502
989,9408.89613872652
990,2862.52843171177
991,4867.74189563314
992,2867.46767576418
993,4813.28371150922
994,5653.85538884439
995,5406.03561949481
996,4971.73685920141
997,2796.87867211585
998,16945.3315466557
999,9311.27240362924
1000,2511.25046757749
1001,4878.59234523059
1002,4610.96991429027
1003,4768.99311522454
1004,6103.37743028645
1005,3298.14182968022
1006,5758.42478593209
1007,2616.82105240322
1008,6040.30257216838
1009,19197.0178729038
1010,4659.35738114908
1011,9046.37523617382
1012,4876.12699789728
1013,5821.53138624956
1014,4569.5584154003
1015,5656.81084713698
1016,2931.64541019624
1017,2811.54922801791
1018,9147.30298586063
1019,9112.46386936752
1020,2333.40869089765
1021,5963.69148759708
1022,5433.93846555278
1023,4987.21366022244
1024,9173.20119810593
1025,16129.9322943703
1026,18547.6540184871
1027,4592.60306485859
1028,5606.0826306087
1029,5770.69795658219
1030,8543.53038664179
1031,5642.88422936042
1032,2913.35389080736
1033,12648.0078280559
1034,2768.22468190853
1035,4336.27951205026
1036,2594.97678449366
1037,5573.08907049316
1038,8299.29016040986
1039,12670.3481493049
1040,5862.50540285153
1041,2405.03024135106
1042,2896.47025014419
1043,9227.68860837767
1044,6013.84341346613
1045,2500.80195858941
1046,2416.4218167748
1047,5868.99566001064
1048,12505.6419529882
1049,2832.55964496364
1050,5793.95339055346
1051,9834.49771820172
1052,2657.62115193876
1053,5997.28605313929
1054,3021.2334387368
1055,2714.28493543861
1056,2631.57555219493
1057,5846.39418738414
1058,16425.314144927
1059,4786.21095837814
1060,2892.86012915489
1061,5006.8207671213
1062,5789.60403736074
1063,5772.03747918351
1064,2367.84966752794
1065,5689.34554751833
1066,2615.00545452187
1067,3010.60879988676
1068,19596.5703032755
1069,5539.21975539058
1070,3015.38550865845
1071,2791.84119208155
1072,5949.97771582231
1073,2576.0216833336
1074,5902.09165629895
1075,5988.25914840996
1076,16722.6990570887
1077,19217.6708143974
1078,4586.65530601696
1079,4898.89035307373
1080,4679.13479198282
1081,2954.61300716525
1082,2871.11696751089
1083,2416.27493239754
1084,6057.16812499957
1085,9009.41485868906
1086,9242.77167268668
1087,5808.23629499563
1088,3045.554056906
1089,2836.92548629403
1090,5643.64122105401
1091,5742.39886510376
1092,5501.73642680419
1093,12585.8880589093
1094,5947.22177249593
1095,5325.35357078496
1096,6039.97026252182
1097,2944.93828209854
1098,2642.9640364539
1099,2754.28679487072
1100,5936.09240558884
1101,19169.6731824525
1102,5947.22177249593
1103,5611.89381149183
1104,9540.50211500377
1105,3073.08614985689
1106,2743.9859717923
1107,2947.39314346978
1108,4727.80388420876
1109,5571.32945305139
1110,5752.03001024709
1111,5569.14231573304
1112,12791.5876254795
1113,12579.2472644719
1114,5740.14991956779
1115,9410.96205582876
1116,2827.09106826154
1117,5833.19219761039
1118,4143.20316840074
1119,9402.01563673533
1120,2858.39002725108
1121,9198.6829741495
1122,15768.805847871
1123,4561.01953258549
1124,16270.4016915822
1125,2874.8790508073
1126,2089.09725299552
1127,2510.0849606085
1128,4826.1320073865
1129,16568.3800098672
1130,2625.95847595428
1131,12583.713875225
1132,16552.7859920066
1133,5944.66058553744
1134,2506.71933372706
1135,2724.15166628623
1136,2702.81007713921
1137,2773.56027890573
1138,5769.31843501677
1139,9234.44099252233
1140,16388.7244237239
1141,5673.75437162746
1142,5790.81928625188
1143,9642.18169567326
1144,5659.23261877386
1145,4760.3974932972
1146,6088.44802516611
1147,4556.19727796968
1148,2842.00604666654
1149,2856.97077826039
1150,5972.36399975796
1151,2744.60497694171
1152,5461.91881485941
1153,4827.0230530597
1154,2486.99916448311
1155,6198.14754921622
1156,13101.1240023031
1157,2826.43094310915
1158,4711.22289097651
1159,2815.94334722646
1160,5858.9940347086
1161,2915.02302015389
1162,9279.37782135159
1163,2647.49030294344
1164,9406.73274255016
1165,2709.06037105447
1166,2371.90945756201
1167,9237.23254217192
1168,5602.79827206101
1169,2781.41504337843
1170,2982.3951411837
